[16992] World Bank: Total expenditures on secondary education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16993] World Bank: Share of secondary recurrent expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[16994] World Bank: Share of schools with triple shifts (%), secondary | pub=World Bank | cols: country, date, value, indicator
[16995] World Bank: Share of basic education expenditures financed by central government sources (%) | pub=World Bank | cols: country, date, value, indicator
[16996] World Bank: Share of basic education expenditures financed by district/municipal government sources  | pub=World Bank | cols: country, date, value, indicator
[16997] World Bank: Share of basic education expenditures financed by provincial/state government sources (% | pub=World Bank | cols: country, date, value, indicator
[16998] World Bank: Share of total central government education expenditures for basic education (%) | pub=World Bank | cols: country, date, value, indicator
[16999] World Bank: Share of central government education expenditures for capital (%) | pub=World Bank | cols: country, date, value, indicator
[17000] World Bank: Central government share of education capital expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17001] World Bank: Share of total central government education expenditures for junior secondary (%) | pub=World Bank | cols: country, date, value, indicator
[17002] World Bank: Share of total central government education expenditures for pre-primary (%) | pub=World Bank | cols: country, date, value, indicator
[17003] World Bank: Share of total central government education expenditures for primary (%) | pub=World Bank | cols: country, date, value, indicator
[17004] World Bank: Central government share of recurrent education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17005] World Bank: Share of central government education expenditures for recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17006] World Bank: Central government share of education salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17007] World Bank: Share of central government education expenditures for salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17008] World Bank: Share of total central government education expenditures for secondary (%) | pub=World Bank | cols: country, date, value, indicator
[17009] World Bank: Share of total central government education expenditures for senior secondary education  | pub=World Bank | cols: country, date, value, indicator
[17010] World Bank: Share of total central government education expenditures for tertiary (%) | pub=World Bank | cols: country, date, value, indicator
[17011] World Bank: Share of total central government spending for education (%) | pub=World Bank | cols: country, date, value, indicator
[17012] World Bank: Share of total education expenditures disbursed by the central government for basic educ | pub=World Bank | cols: country, date, value, indicator
[17013] World Bank: Share of total education expenditures disbursed by the central government for pre-primar | pub=World Bank | cols: country, date, value, indicator
[17014] World Bank: Share of total education expenditures disbursed by the central government for primary (% | pub=World Bank | cols: country, date, value, indicator
[17015] World Bank: Share of total education expenditures disbursed by the central government for secondary  | pub=World Bank | cols: country, date, value, indicator
[17016] World Bank: Share of total education expenditures disbursed by the central government for tertiary e | pub=World Bank | cols: country, date, value, indicator
[17017] World Bank: Share of total education expenditures disbursed by the central government for technical/ | pub=World Bank | cols: country, date, value, indicator
[17018] World Bank: Share of total central government education expenditures for technical/vocational educat | pub=World Bank | cols: country, date, value, indicator
[17019] World Bank: Share of total education expenditures financed by district/municipal government sources  | pub=World Bank | cols: country, date, value, indicator
[17020] World Bank: Share of total education expenditures disbursed by subnational levels of government for  | pub=World Bank | cols: country, date, value, indicator
[17021] World Bank: Share of total education expenditures disbursed by the central government (%) | pub=World Bank | cols: country, date, value, indicator
[17022] World Bank: Share of total education expenditures disbursed by subnational levels of government for  | pub=World Bank | cols: country, date, value, indicator
[17023] World Bank: Share of total education expenditures disbursed by district/municipal levels of governme | pub=World Bank | cols: country, date, value, indicator
[17024] World Bank: Share of total education expenditures disbursed by subnational levels of government for  | pub=World Bank | cols: country, date, value, indicator
[17025] World Bank: Share of total education expenditures disbursed by subnational levels of government for  | pub=World Bank | cols: country, date, value, indicator
[17026] World Bank: Share of total education expenditures disbursed by provincial/state levels of government | pub=World Bank | cols: country, date, value, indicator
[17027] World Bank: Share of total district/municipal government expenditures for the education sector (%) | pub=World Bank | cols: country, date, value, indicator
