[17092] World Bank: Household spending per student, secondary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17093] World Bank: Household spending per student, senior secondary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17094] World Bank: Household spending per student, tertiary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17095] World Bank: Share of total education expenditure (% from parent/household contributions) | pub=World Bank | cols: country, date, value, indicator
[17096] World Bank: Total household spending on education (USD) | pub=World Bank | cols: country, date, value, indicator
[17097] World Bank: Total household spending on education (USD), basic | pub=World Bank | cols: country, date, value, indicator
[17098] World Bank: Total household spending on education (USD or local currency), junior secondary | pub=World Bank | cols: country, date, value, indicator
[17099] World Bank: Total household spending on education (USD), pre-primary | pub=World Bank | cols: country, date, value, indicator
[17100] World Bank: Total household spending on education (USD or local currency), primary | pub=World Bank | cols: country, date, value, indicator
[17101] World Bank: Total household spending on education (USD or local currency), secondary | pub=World Bank | cols: country, date, value, indicator
[17102] World Bank: Total household spending on education (USD or local currency), senior secondary | pub=World Bank | cols: country, date, value, indicator
[17103] World Bank: Total household spending on education (USD), tertiary | pub=World Bank | cols: country, date, value, indicator
[17104] World Bank: Share of basic education expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17105] World Bank: Share of total capital education expenditure from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17106] World Bank: Total education expenditures from international sources as a % of GDP | pub=World Bank | cols: country, date, value, indicator
[17107] World Bank: Share of junior secondary expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17108] World Bank: Off-budget international education spending, total (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17109] World Bank: Share of pre-primary expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17110] World Bank: Share of primary expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17111] World Bank: Recurrent expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17112] World Bank: Share of secondary expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17113] World Bank: Share of senior secondary expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17114] World Bank: Share of tertiary expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17115] World Bank: Share of total education expenditure from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17116] World Bank: Total education expenditures from international sources (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17117] World Bank: Share of technical/vocational expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17118] World Bank: Share of pre-primary education expenditures financed by central government sources (%) | pub=World Bank | cols: country, date, value, indicator
[17119] World Bank: Share of pre-primary education expenditures financed by district/municipal government so | pub=World Bank | cols: country, date, value, indicator
[17120] World Bank: Share of pre-primary education expenditures financed by provincial/state government sour | pub=World Bank | cols: country, date, value, indicator
[17121] World Bank: Share of primary education expenditures financed by central government sources (%) | pub=World Bank | cols: country, date, value, indicator
[17122] World Bank: Share of primary education expenditures financed by district/municipal government source | pub=World Bank | cols: country, date, value, indicator
[17123] World Bank: Share of primary education expenditures financed by provincial/state government sources  | pub=World Bank | cols: country, date, value, indicator
[17124] World Bank: Share of total education expenditures financed by provincial/state government sources (% | pub=World Bank | cols: country, date, value, indicator
[17125] World Bank: Share of total provincial/state government expenditures for the education sector (%) | pub=World Bank | cols: country, date, value, indicator
[17126] World Bank: Secondary share of total private spending on education (%) | pub=World Bank | cols: country, date, value, indicator
[17127] World Bank: Total private expenditure on education (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[17128] World Bank: Total private expenditure on pre-primary education (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[17129] World Bank: Total private expenditure on primary education (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[17130] World Bank: Total private expenditure on secondary education (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[17131] World Bank: Total private expenditure on tertiary education (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[17132] World Bank: Junior secondary share of total private spending on education (%) | pub=World Bank | cols: country, date, value, indicator
[17133] World Bank: Share of household consumption for private expenditures on education (%) | pub=World Bank | cols: country, date, value, indicator
[17134] World Bank: Share of household consumption for private expenditures on primary education (%) | pub=World Bank | cols: country, date, value, indicator
[17135] World Bank: Share of Quintile 1 household consumption for private expenditures on education (%) | pub=World Bank | cols: country, date, value, indicator
[17136] World Bank: Share of Quintile 2 household consumption for private expenditures on education (%) | pub=World Bank | cols: country, date, value, indicator
[17137] World Bank: Share of Quintile 3 household consumption for private expenditures on education (%) | pub=World Bank | cols: country, date, value, indicator
