[17192] World Bank: Pupil/Teacher Ratio, senior secondary | pub=World Bank | cols: country, date, value, indicator
[17193] World Bank: Share of senior secondary education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[17194] World Bank: Share of senior secondary education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[17195] World Bank: Share of senior secondary education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[17196] World Bank: Share of senior secondary education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[17197] World Bank: Share of senior secondary education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
[17198] World Bank: Share of education expenditures for the poorest 40% of students (%), Senior Secondary | pub=World Bank | cols: country, date, value, indicator
[17199] World Bank: Share of education expenditures for the richest 40% of students (%), Senior Secondary | pub=World Bank | cols: country, date, value, indicator
[17200] World Bank: Recurrent share of senior secondary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17201] World Bank: Share of total recurrent education expenditure (%), senior secondary | pub=World Bank | cols: country, date, value, indicator
[17202] World Bank: Salaries' share of senior secondary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17203] World Bank: Ratio of Teacher Salaries to per capita GDP, senior secondary | pub=World Bank | cols: country, date, value, indicator
[17204] World Bank: Share of recurrent education expenditures for senior secondary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17205] World Bank: Salaries' share of senior secondary recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17206] World Bank: Share of total education expenditures for senior secondary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17207] World Bank: Average Annual Teacher Salary in USD, senior secondary | pub=World Bank | cols: country, date, value, indicator
[17208] World Bank: Share of senior education expenditures from government sources (%) | pub=World Bank | cols: country, date, value, indicator
[17209] World Bank: Average annual teaching load, senior secondary (hours of instruction per year) | pub=World Bank | cols: country, date, value, indicator
[17210] World Bank: Share of teachers for senior secondary education (%) | pub=World Bank | cols: country, date, value, indicator
[17211] World Bank: Teaching/Non-Teaching Staff Ratio, senior secondary | pub=World Bank | cols: country, date, value, indicator
[17212] World Bank: Share of total education expenditure for senior secondary education (%) | pub=World Bank | cols: country, date, value, indicator
[17213] World Bank: Total expenditures on senior secondary education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17214] World Bank: Per student transfer by central to subnational government, senior secondary education (U | pub=World Bank | cols: country, date, value, indicator
[17215] World Bank: Share of senior secondary recurrent expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[17216] World Bank: Share of district/municipal education expenditures for capital (%) | pub=World Bank | cols: country, date, value, indicator
[17217] World Bank: Share of district/municipal education expenditures for recurrent (%) | pub=World Bank | cols: country, date, value, indicator
[17218] World Bank: Share of district/municipal education expenditures for salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17219] World Bank: Share of provincial/state education expenditures for capital (%) | pub=World Bank | cols: country, date, value, indicator
[17220] World Bank: Share of provincial/state education expenditures for recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17221] World Bank: Share of provincial/state education expenditures for salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17222] World Bank: Recurrent expenditures per teacher education student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17223] World Bank: Salary expenditures per teacher education student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17224] World Bank: Share of tertiary expenditures for administration (%) | pub=World Bank | cols: country, date, value, indicator
[17225] World Bank: Capital share of tertiary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17226] World Bank: Share of total capital education expenditure (%), tertiary | pub=World Bank | cols: country, date, value, indicator
[17227] World Bank: Repetition/Drop-out Inefficiency Cost, tertiary | pub=World Bank | cols: country, date, value, indicator
[17228] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, tertiary | pub=World Bank | cols: country, date, value, indicator
[17229] World Bank: Capital education budget execution rate (%), tertiary | pub=World Bank | cols: country, date, value, indicator
[17230] World Bank: Recurrent education budget execution rate (%), tertiary | pub=World Bank | cols: country, date, value, indicator
[17231] World Bank: Salary execution rate (%), tertiary | pub=World Bank | cols: country, date, value, indicator
[17232] World Bank: Education budget execution rate, tertiary (%) | pub=World Bank | cols: country, date, value, indicator
[17233] World Bank: Average scholarship per student, tertiary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17234] World Bank: Share of tertiary students who receive financial assistance/loans (%) | pub=World Bank | cols: country, date, value, indicator
[17235] World Bank: Share of GDP for education expenditures on tertiary education (%) | pub=World Bank | cols: country, date, value, indicator
[17236] World Bank: Share of tertiary recurrent expenditures for goods and services (%) | pub=World Bank | cols: country, date, value, indicator
[17237] World Bank: Household spending per student on room/board for tertiary education (USD or local curren | pub=World Bank | cols: country, date, value, indicator
[17238] World Bank: Household spending per student on textbooks for tertiary education (USD or local currenc | pub=World Bank | cols: country, date, value, indicator
