[17292] World Bank: Share of secondary teachers who are uncertified (%) | pub=World Bank | cols: country, date, value, indicator
[17293] World Bank: Share of teacher education expenditures from government sources (%) | pub=World Bank | cols: country, date, value, indicator
[17294] World Bank: Share of teacher education expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17295] World Bank: Share of total household expenditures for education, urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[17296] World Bank: Share of total household education expenditures from urban areas (%) | pub=World Bank | cols: country, date, value, indicator
[17297] World Bank: Share of technical/vocational expenditures for administration (%) | pub=World Bank | cols: country, date, value, indicator
[17298] World Bank: Capital share of technical/vocational expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17299] World Bank: Share of total capital education expenditure (%), technical/vocational | pub=World Bank | cols: country, date, value, indicator
[17300] World Bank: Capital education budget execution rate (%), technical/vocational | pub=World Bank | cols: country, date, value, indicator
[17301] World Bank: Recurrent education budget execution rate (%), technical/vocational | pub=World Bank | cols: country, date, value, indicator
[17302] World Bank: Education budget execution rate, technical/vocational (%) | pub=World Bank | cols: country, date, value, indicator
[17303] World Bank: Share of recurrent technical/vocational expenditures for scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[17304] World Bank: Share of Technical/Vocational students who received scholarships (%) | pub=World Bank | cols: country, date, value, indicator
[17305] World Bank: Share of GDP for education expenditures on technical/vocational education (%) | pub=World Bank | cols: country, date, value, indicator
[17306] World Bank: Share of technical/vocational education recurrent expenditures for goods and services (% | pub=World Bank | cols: country, date, value, indicator
[17307] World Bank: Household spending per student on technical/vocational education (in USD or local curren | pub=World Bank | cols: country, date, value, indicator
[17308] World Bank: Pupil/Classroom Ratio, technical/vocational education | pub=World Bank | cols: country, date, value, indicator
[17309] World Bank: Pupils/Class, technical/vocational education | pub=World Bank | cols: country, date, value, indicator
[17310] World Bank: Public education expenditure per student (% of GDP per capita), technical/vocational edu | pub=World Bank | cols: country, date, value, indicator
[17311] World Bank: Per student non-salary spending, technical/vocational education (in USD or local currenc | pub=World Bank | cols: country, date, value, indicator
[17312] World Bank: Ratio of expenditures per student, technical/vocational to primary | pub=World Bank | cols: country, date, value, indicator
[17313] World Bank: Expenditures per student per year (in USD/local currency), technical/vocational educatio | pub=World Bank | cols: country, date, value, indicator
[17314] World Bank: Pupil/Total Staff Ratio, technical/vocational education | pub=World Bank | cols: country, date, value, indicator
[17315] World Bank: Pupil/Teacher Ratio, technical/vocational education | pub=World Bank | cols: country, date, value, indicator
[17316] World Bank: Private institution fees, technical/vocational (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17317] World Bank: Share of education expenditures for the poorest 40% of students (%), Technical/Vocationa | pub=World Bank | cols: country, date, value, indicator
[17318] World Bank: Share of technical/vocational education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[17319] World Bank: Share of technical/vocational education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[17320] World Bank: Share of technical/vocational education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[17321] World Bank: Share of technical/vocational education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[17322] World Bank: Share of technical/vocational education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
[17323] World Bank: Share of education expenditures for the richest 40% of students (%), Technical/Vocationa | pub=World Bank | cols: country, date, value, indicator
[17324] World Bank: Recurrent share of technical/vocational expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17325] World Bank: Recurrent expenditures per technical/vocational student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17326] World Bank: Share of total recurrent education expenditure (%), technical/vocational | pub=World Bank | cols: country, date, value, indicator
[17327] World Bank: Salaries' share of technical/vocational education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17328] World Bank: Share of recurrent education expenditures for technical/vocational salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17329] World Bank: Salaries' share of technical/vocational recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17330] World Bank: Share of total expenditures for technical/vocational salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17331] World Bank: Annual Teacher Salaries, technical/vocational education (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17332] World Bank: Share of teachers for technical/vocational education (%) | pub=World Bank | cols: country, date, value, indicator
[17333] World Bank: Teaching/Non-Teaching Staff Ratio, technical/vocational education | pub=World Bank | cols: country, date, value, indicator
[17334] World Bank: Share of total education expenditure for technical/vocational education (%) | pub=World Bank | cols: country, date, value, indicator
[17335] World Bank: Capital share of total education expenditure (%), technical/vocational | pub=World Bank | cols: country, date, value, indicator
[17336] World Bank: Total expenditures on technical vocational education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17337] World Bank: Share of technical/vocational education recurrent expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[17368] Average per capita transfer -All Social Protection and Labor Programs -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17369] Average per capita transfer -All Social Protection and Labor Programs -female-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[17370] Average per capita transfer -All Social Protection and Labor Programs -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17371] Average per capita transfer -All Social Protection and Labor Programs -male-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[17374] Avg. per capita transfer held by 1st quintile(poorest)-All Social Prot. & Labor(preT)-fem-recipient | pub=World Bank | cols: country, date, value, indicator
[17375] Avg. per capita transfer held by 1st quintile(poorest)-All Social Prot. & Labor(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17378] Average per capita transfer held by 1st quintile(poorest)-All Social Prot. and Labor -fem-recipient | pub=World Bank | cols: country, date, value, indicator
[17379] Average per capita transfer held by 1st quintile(poorest)-All Social Prot. and Labor -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17382] Average per capita transfer held by 2nd quintile-All Social Prot. and Labor(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17383] Average per capita transfer held by 2nd quintile-All Social Prot. and Labor(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17386] Average per capita transfer held by 2nd quintile-All Social Protection and Labor -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17387] Average per capita transfer held by 2nd quintile-All Social Protection and Labor -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17390] Average per capita transfer held by 3rd quintile-All Social Prot. and Labor(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17391] Average per capita transfer held by 3rd quintile-All Social Prot. and Labor(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17394] Average per capita transfer held by 3rd quintile-All Social Protection and Labor -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17395] Average per capita transfer held by 3rd quintile-All Social Protection and Labor -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17398] Average per capita transfer held by 4th quintile-All Social Prot. and Labor(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17399] Average per capita transfer held by 4th quintile-All Social Prot. and Labor(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17402] Average per capita transfer held by 4th quintile-All Social Protection and Labor -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17403] Average per capita transfer held by 4th quintile-All Social Protection and Labor -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17406] Avg. per capita transfer held by 5th quintile(richest)-All Social Prot. & Labor(preT)-fem-recipient | pub=World Bank | cols: country, date, value, indicator
[17407] Avg. per capita transfer held by 5th quintile(richest)-All Social Prot. & Labor(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17410] Average per capita transfer held by 5th quintile(richest)-All Social Prot. and Labor -fem-recipient | pub=World Bank | cols: country, date, value, indicator
[17411] Average per capita transfer held by 5th quintile(richest)-All Social Prot. and Labor -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17415] Benefits incidence in all income groups(%)-All Social Protection and Labor -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17416] Benefits incidence in all income groups(%)-All Social Protection and Labor Programs-male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17439] Beneficiary incidence in all income groups(%)-All Social Protection and Labor -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17440] Beneficiary incidence in all income groups(%)-All Social Protection and Labor -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17441] Beneficiary incidence in all income groups(%)-All Social Protection and Labor -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17442] Beneficiary incidence in all income groups(%)-All Social Protection and Labor -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17444] Beneficiary incidence in 1st quintile(poorest)(%)-All Social Prot. and Labor(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17445] Beneficiary incidence in 1st quintile(poorest)(%)-All Social Prot. and Labor(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17448] Beneficiary incidence in 1st quintile(poorest)(%)-All Social Protection and Labor -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17449] Beneficiary incidence in 1st quintile(poorest)(%)-All Social Protection and Labor -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17452] Beneficiary incidence in 2nd quintile(%)-All Social Protection and Labor (preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17453] Beneficiary incidence in 2nd quintile(%)-All Social Protection and Labor (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17456] Beneficiary incidence in 2nd quintile(%)-All Social Protection and Labor Programs-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17457] Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17460] Beneficiary incidence in 3rd quintile(%)-All Social Protection and Labor (preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17461] Beneficiary incidence in 3rd quintile(%)-All Social Protection and Labor (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17464] Beneficiary incidence in 3rd quintile(%)-All Social Protection and Labor Programs-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17465] Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17468] Beneficiary incidence in 4th quintile(%)-All Social Protection and Labor (preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17469] Beneficiary incidence in 4th quintile(%)-All Social Protection and Labor (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17472] Beneficiary incidence in 4th quintile(%)-All Social Protection and Labor Programs-female-recipient | pub=World Bank | cols: country, date, value, indicator
