[17556] Average per capita transfer - Active Labor Market Programs -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17557] Average per capita transfer-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17560] Average per capita transfer held by 1st quintile(poorest)-Active Labor Market(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17561] Average per capita transfer held by 1st quintile(poorest)-Active Labor Market(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17564] Average per capita transfer held by 1st quintile (poorest)-Active Labor Market -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17565] Average per capita transfer held by 1st quintile (poorest)-Active Labor Market -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17568] Average per capita transfer held by 2nd quintile-Active Labor Market (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17569] Average per capita transfer held by 2nd quintile-Active Labor Market (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17572] Average per capita transfer held by 2nd quintile-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17573] Average per capita transfer held by 2nd quintile-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17576] Average per capita transfer held by 3rd quintile-Active Labor Market (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17577] Average per capita transfer held by 3rd quintile-Active Labor Market (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17580] Average per capita transfer held by 3rd quintile-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17581] Average per capita transfer held by 3rd quintile-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17584] Average per capita transfer held by 4th quintile-Active Labor Market (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17585] Average per capita transfer held by 4th quintile-Active Labor Market (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17588] Average per capita transfer held by 4th quintile-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17589] Average per capita transfer held by 4th quintile-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17592] Average per capita transfer held by 5th quintile(richest)-Active Labor Market(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17593] Average per capita transfer held by 5th quintile(richest)-Active Labor Market(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17596] Average per capita transfer held by 5th quintile (richest)-Active Labor Market -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17597] Average per capita transfer held by 5th quintile (richest)-Active Labor Market -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17601] Benefits incidence in all income groups (%)-Active Labor Market Programs-female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17602] Benefits incidence in all income groups (%)-Active Labor Market Programs-male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17625] Beneficiary incidence in all income groups (%)-Active Labor Market  -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17626] Beneficiary incidence in all income groups (%)-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17627] Beneficiary incidence in all income groups (%)-Active Labor Market  -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17628] Beneficiary incidence in all income groups (%)-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17630] Beneficiary incidence in 1st quintile (poorest) (%)-Active Labor Market (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17631] Beneficiary incidence in 1st quintile (poorest) (%)-Active Labor Market (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17634] Beneficiary incidence in 1st quintile (poorest) (%)-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17635] Beneficiary incidence in 1st quintile (poorest) (%)-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17638] Beneficiary incidence in 2nd quintile (%)-Active Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17639] Beneficiary incidence in 2nd quintile (%)-Active Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17642] Beneficiary incidence in 2nd quintile (%)-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17643] Beneficiary incidence in 2nd quintile (%)-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17646] Beneficiary incidence in 3rd quintile (%)-Active Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17647] Beneficiary incidence in 3rd quintile (%)-Active Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17650] Beneficiary incidence in 3rd quintile (%)-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17651] Beneficiary incidence in 3rd quintile (%)-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17654] Beneficiary incidence in 4th quintile (%)-Active Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17655] Beneficiary incidence in 4th quintile (%)-Active Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17658] Beneficiary incidence in 4th quintile (%)-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17659] Beneficiary incidence in 4th quintile (%)-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17662] Beneficiary incidence in 5th quintile (richest) (%)-Active Labor Market (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17663] Beneficiary incidence in 5th quintile (richest) (%)-Active Labor Market (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17666] Beneficiary incidence in 5th quintile (richest) (%)-Active Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17667] Beneficiary incidence in 5th quintile (richest) (%)-Active Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17677] Coverage (%) - Active Labor Market Programs -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17678] Coverage (%) - Active Labor Market Programs -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17740] Average per capita transfer - All Labor Market Programs -female-beneficiary-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17741] Average per capita transfer - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17742] Average per capita transfer - All Labor Market Programs -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17743] Average per capita transfer - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17746] Average per capita transfer held by 1st quintile(poorest)-All Labor Market(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17747] Average per capita transfer held by 1st quintile(poorest)-All Labor Market(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17750] Average per capita transfer held by 1st quintile(poorest)-All Labor Market-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17751] Average per capita transfer held by 1st quintile (poorest)-All Labor Market Programs-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17754] Average per capita transfer held by 2nd quintile-All Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17755] Average per capita transfer held by 2nd quintile - All Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17758] Average per capita transfer held by 2nd quintile - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17759] Average per capita transfer held by 2nd quintile - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
