[17863] Coverage (%) - All Labor Market Programs -female-beneficiary-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17864] Coverage (%) - All Labor Market Programs -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17926] Average per capita transfer - Passive Labor Market Programs -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17927] Average per capita transfer - Passive Labor Market Programs -female-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[17928] Average per capita transfer - Passive Labor Market Programs -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17929] Average per capita transfer - Passive Labor Market Programs -male-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[17932] Avg per capita transfer held by 1st quintile(poorest)-Passive Labor Market (preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17933] Average per capita transfer held by 1st quintile(poorest)-Passive Labor Market (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17936] Avg per capita transfer held by 1st quintile(poorest)-Passive Labor Market Programs-fem-recipient | pub=World Bank | cols: country, date, value, indicator
[17937] Avg per capita transfer held by 1st quintile(poorest)-Passive Labor Market Programs-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17940] Average per capita transfer held by 2nd quintile-Passive Labor Market Programs(preT)-fem-recipient | pub=World Bank | cols: country, date, value, indicator
[17941] Average per capita transfer held by 2nd quintile-Passive Labor Market Programs (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17944] Average per capita transfer held by 2nd quintile - Passive Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17945] Average per capita transfer held by 2nd quintile - Passive Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17948] Average per capita transfer held by 3rd quintile-Passive Labor Market Programs(preT)-fem-recipient | pub=World Bank | cols: country, date, value, indicator
[17949] Average per capita transfer held by 3rd quintile-Passive Labor Market Programs (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17952] Average per capita transfer held by 3rd quintile - Passive Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17953] Average per capita transfer held by 3rd quintile - Passive Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17956] Average per capita transfer held by 4th quintile-Passive Labor Market Programs(preT)-fem-recipient | pub=World Bank | cols: country, date, value, indicator
[17957] Average per capita transfer held by 4th quintile-Passive Labor Market Programs (preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17960] Average per capita transfer held by 4th quintile - Passive Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17961] Average per capita transfer held by 4th quintile - Passive Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17964] Avg per capita transfer held by 5th quintile(richest)-Passive Labor Market (preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
