[20993] (iv) Rules for budget adjustments by the executive | pub=World Bank | cols: country, date, value, indicator
[20994] Revenue administration | pub=World Bank | cols: country, date, value, indicator
[20995] (i) Rights and obligations for revenue measures | pub=World Bank | cols: country, date, value, indicator
[20996] (ii) Revenue risk management | pub=World Bank | cols: country, date, value, indicator
[20997] (iii) Revenue audit and investigation | pub=World Bank | cols: country, date, value, indicator
[20998] (iv) Revenue arrears monitoring | pub=World Bank | cols: country, date, value, indicator
[20999] (v) Evidence on the use of open competition for award of contracts | pub=World Bank | cols: country, date, value, indicator
[21000] (vi) Extent of justificaction for use of less competitive procurement methods. | pub=World Bank | cols: country, date, value, indicator
[21001] (vii) Existence and operation of a procurement complaints mechanism | pub=World Bank | cols: country, date, value, indicator
[21002] Accounting for revenues | pub=World Bank | cols: country, date, value, indicator
[21003] (i) Information on revenue collections | pub=World Bank | cols: country, date, value, indicator
[21004] (ii) Transfer of revenue collections | pub=World Bank | cols: country, date, value, indicator
[21005] (iii) Revenue accounts reconciliation | pub=World Bank | cols: country, date, value, indicator
[21006] Predictability of in-year resource allocation | pub=World Bank | cols: country, date, value, indicator
[21007] (i) Consolidation of cash balances | pub=World Bank | cols: country, date, value, indicator
[21008] (ii) Cash forecasting and monitoring | pub=World Bank | cols: country, date, value, indicator
[21009] (iii) Information on commitment ceilings | pub=World Bank | cols: country, date, value, indicator
[21010] (iv) Significance of in-year budget adjustments | pub=World Bank | cols: country, date, value, indicator
[21011] Expenditure arrears | pub=World Bank | cols: country, date, value, indicator
[21012] (i) Stock of expenditure arrears | pub=World Bank | cols: country, date, value, indicator
[21013] (ii) Expenditure arrears monitoring | pub=World Bank | cols: country, date, value, indicator
[21014] Payroll controls | pub=World Bank | cols: country, date, value, indicator
[21015] (i) Integration of payroll and personnel records | pub=World Bank | cols: country, date, value, indicator
[21016] (ii) Management of payroll changes | pub=World Bank | cols: country, date, value, indicator
[21017] (iii) Internal control of payroll | pub=World Bank | cols: country, date, value, indicator
[21018] (iv) Payroll audit | pub=World Bank | cols: country, date, value, indicator
[21019] Procurement | pub=World Bank | cols: country, date, value, indicator
[21020] (i) Procurement monitoring | pub=World Bank | cols: country, date, value, indicator
[21021] (ii) Procurement methods | pub=World Bank | cols: country, date, value, indicator
[21022] (iii) Public access to procurement information | pub=World Bank | cols: country, date, value, indicator
[21023] (iv) Procurement complaints management | pub=World Bank | cols: country, date, value, indicator
[21024] Internal controls on nonsalary expenditure | pub=World Bank | cols: country, date, value, indicator
[21025] (i) Segregation of duties | pub=World Bank | cols: country, date, value, indicator
[21026] (ii) Effectiveness of expenditure commitment controls | pub=World Bank | cols: country, date, value, indicator
[21027] (iii) Compliance with payment controls | pub=World Bank | cols: country, date, value, indicator
[21028] Internal audit effectiveness | pub=World Bank | cols: country, date, value, indicator
[21029] (i) Coverage of internal audit | pub=World Bank | cols: country, date, value, indicator
[21030] (ii) Nature of audits and standards applied | pub=World Bank | cols: country, date, value, indicator
[21031] (iii) Internal audit activity and reporting | pub=World Bank | cols: country, date, value, indicator
[21032] (iv) Response to internal audits | pub=World Bank | cols: country, date, value, indicator
[21033] Financial data integrity | pub=World Bank | cols: country, date, value, indicator
[21034] (i) Bank account reconciliation | pub=World Bank | cols: country, date, value, indicator
[21035] (ii) Suspense accounts | pub=World Bank | cols: country, date, value, indicator
[21036] (iii) Advance accounts | pub=World Bank | cols: country, date, value, indicator
[21037] (iv) Financial data integrity processes | pub=World Bank | cols: country, date, value, indicator
[21038] In-year budget reports | pub=World Bank | cols: country, date, value, indicator
[21039] (i) Coverage and comparability of reports | pub=World Bank | cols: country, date, value, indicator
[21040] (ii) Timing of in-year budget reports | pub=World Bank | cols: country, date, value, indicator
[21041] (iii) Accuracy of in-year budget reports | pub=World Bank | cols: country, date, value, indicator
[21042] Annual financial reports | pub=World Bank | cols: country, date, value, indicator
[21043] (i) Completeness of annual financial reports | pub=World Bank | cols: country, date, value, indicator
[21044] (ii) Submission of reports for external audit | pub=World Bank | cols: country, date, value, indicator
[21045] (iii) Accounting standards | pub=World Bank | cols: country, date, value, indicator
[21046] External audit | pub=World Bank | cols: country, date, value, indicator
[21047] (i) Audit coverage and standards | pub=World Bank | cols: country, date, value, indicator
[21048] (ii) Submission of audit reports to the legislature | pub=World Bank | cols: country, date, value, indicator
[21049] (iii) External audit follow-up | pub=World Bank | cols: country, date, value, indicator
[21050] (iv) Supreme Audit Institution (SAI) independence | pub=World Bank | cols: country, date, value, indicator
[21051] Legislative scrutiny of audit reports | pub=World Bank | cols: country, date, value, indicator
[21052] (i) Timing of audit report scrutiny | pub=World Bank | cols: country, date, value, indicator
[21053] (ii) Hearings on audit findings | pub=World Bank | cols: country, date, value, indicator
[21054] (iii) Recommendations on audit by the legislature | pub=World Bank | cols: country, date, value, indicator
[21055] (iv) Transparency of legislative scrutiny of audit reports | pub=World Bank | cols: country, date, value, indicator
[21385] Persons aged 15 to 29 years in households receiving social protection (% of persons aged 15 to 29 ye | pub=World Bank | cols: country, date, value, indicator
[21386] Persons aged 30 to 44 years in households receiving social protection (% of persons aged 30 to 44 ye | pub=World Bank | cols: country, date, value, indicator
[21387] Persons aged 45 to 64 years in households receiving social protection (% of persons aged 45 to 64 ye | pub=World Bank | cols: country, date, value, indicator
[21388] Persons aged 65 or older in households receiving social protection (% of persons aged 65 or older wi | pub=World Bank | cols: country, date, value, indicator
[21389] Persons in households receiving social protection (% of persons with disability i.e. at least a lot  | pub=World Bank | cols: country, date, value, indicator
[21390] Female persons in households receiving social protection (% of female persons with disability i.e. a | pub=World Bank | cols: country, date, value, indicator
[21391] Male persons in households receiving social protection (% of male persons with disability i.e. at le | pub=World Bank | cols: country, date, value, indicator
[21392] Persons living in rural areas in households receiving social protection (% of persons living in rura | pub=World Bank | cols: country, date, value, indicator
[21393] Persons living in urban areas in households receiving social protection (% of persons living in urba | pub=World Bank | cols: country, date, value, indicator
[21394] Persons aged 15 to 29 years in households receiving social protection (% of persons aged 15 to 29 ye | pub=World Bank | cols: country, date, value, indicator
[21395] Persons aged 30 to 44 years in households receiving social protection (% of persons aged 30 to 44 ye | pub=World Bank | cols: country, date, value, indicator
[21396] Persons aged 45 to 64 years in households receiving social protection (% of persons aged 45 to 64 ye | pub=World Bank | cols: country, date, value, indicator
[21397] Persons aged 65 or older in households receiving social protection (% of persons aged 65 or older wi | pub=World Bank | cols: country, date, value, indicator
[21398] Persons in households receiving social protection (% of persons with any degree of functional diffic | pub=World Bank | cols: country, date, value, indicator
[21399] Persons in households receiving social protection (% of persons with any degree of cognitive difficu | pub=World Bank | cols: country, date, value, indicator
[21400] Persons in households receiving social protection (% of persons with any degree of communication dif | pub=World Bank | cols: country, date, value, indicator
[21401] Female persons in households receiving social protection (% of female persons with any degree of fun | pub=World Bank | cols: country, date, value, indicator
[21402] Persons in households receiving social protection (% of persons with any degree of hearing difficult | pub=World Bank | cols: country, date, value, indicator
[21403] Male persons in households receiving social protection (% of male persons with any degree of functio | pub=World Bank | cols: country, date, value, indicator
[21404] Persons in households receiving social protection (% of persons with any degree of mobility difficul | pub=World Bank | cols: country, date, value, indicator
[21405] Persons living in rural areas in households receiving social protection (% of persons living in rura | pub=World Bank | cols: country, date, value, indicator
[21406] Persons in households receiving social protection (% of persons with any degree of seeing difficulty | pub=World Bank | cols: country, date, value, indicator
[21407] Persons in households receiving social protection (% of persons with any degree of selfcare difficul | pub=World Bank | cols: country, date, value, indicator
[21408] Persons living in urban areas in households receiving social protection (% of persons living in urba | pub=World Bank | cols: country, date, value, indicator
[21409] Persons aged 15 to 29 years in households receiving social protection (% of persons aged 15 to 29 ye | pub=World Bank | cols: country, date, value, indicator
[21410] Persons aged 30 to 44 years in households receiving social protection (% of persons aged 30 to 44 ye | pub=World Bank | cols: country, date, value, indicator
[21411] Persons aged 45 to 64 years in households receiving social protection (% of persons aged 45 to 64 ye | pub=World Bank | cols: country, date, value, indicator
[21412] Persons aged 65 or older in households receiving social protection (% of persons aged 65 or older wi | pub=World Bank | cols: country, date, value, indicator
[21413] Persons in households receiving social protection (% of persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[21414] Female persons in households receiving social protection (% of female persons with no functional dif | pub=World Bank | cols: country, date, value, indicator
[21415] Male persons in households receiving social protection (% of male persons with no functional difficu | pub=World Bank | cols: country, date, value, indicator
[21416] Persons living in rural areas in households receiving social protection (% of persons living in rura | pub=World Bank | cols: country, date, value, indicator
[21417] Persons living in urban areas in households receiving social protection (% of persons living in urba | pub=World Bank | cols: country, date, value, indicator
[21418] Persons aged 15 to 29 years in households receiving social protection (% of persons aged 15 to 29 ye | pub=World Bank | cols: country, date, value, indicator
[21419] Persons aged 30 to 44 years in households receiving social protection (% of persons aged 30 to 44 ye | pub=World Bank | cols: country, date, value, indicator
[21420] Persons aged 45 to 64 years in households receiving social protection (% of persons aged 45 to 64 ye | pub=World Bank | cols: country, date, value, indicator
[21421] Persons aged 65 or older in households receiving social protection (% of persons aged 65 or older wi | pub=World Bank | cols: country, date, value, indicator
