[24404] School Enroll. Ratio, primary (%) | pub=World Bank | cols: country, date, value, indicator
[24408] Instructional Leadership | pub=World Bank | desc: School survey.  Total score starts at 1 and points added are the sum  of whether a teacher has:   , Had a classroom observation in past year   - Had a discussion based on that observation that lasted  | cols: country, date, value, indicator
[24409] (De Facto) Average score for the presence and quality of instructional leadership | pub=World Bank | cols: country, date, value, indicator
[24410] (De Facto) Average score for the presence and quality of instructional leadership - Female | pub=World Bank | cols: country, date, value, indicator
[24411] (De Facto) Average score for the presence and quality of instructional leadership - Male | pub=World Bank | cols: country, date, value, indicator
[24412] (De Facto) Average score for the presence and quality of instructional leadership - Rural | pub=World Bank | cols: country, date, value, indicator
[24413] (De Facto) Average score for the presence and quality of instructional leadership - Urban | pub=World Bank | cols: country, date, value, indicator
[24414] (De Facto) Percent of teachers reporting having had their class observed | pub=World Bank | cols: country, date, value, indicator
[24415] (De Facto) Percent of teachers reporting having had their class observed - Female | pub=World Bank | cols: country, date, value, indicator
[24416] (De Facto) Percent of teachers reporting having had their class observed - Male | pub=World Bank | cols: country, date, value, indicator
[24417] (De Facto) Percent of teachers reporting having had their class observed - Rural | pub=World Bank | cols: country, date, value, indicator
[24418] (De Facto) Percent of teachers reporting having had their class observed - Urban | pub=World Bank | cols: country, date, value, indicator
[24419] (De Facto) Percent of teachers reporting that the classroom observation happened recently | pub=World Bank | cols: country, date, value, indicator
[24420] (De Facto) Percent of teachers reporting that the classroom observation happened recently - Female | pub=World Bank | cols: country, date, value, indicator
[24421] (De Facto) Percent of teachers reporting that the classroom observation happened recently - Male | pub=World Bank | cols: country, date, value, indicator
[24422] (De Facto) Percent of teachers reporting that the classroom observation happened recently - Rural | pub=World Bank | cols: country, date, value, indicator
[24423] (De Facto) Percent of teachers reporting that the classroom observation happened recently - Urban | pub=World Bank | cols: country, date, value, indicator
[24424] (De Facto) Percent of teachers reporting having discussed the results of the classroom observation | pub=World Bank | cols: country, date, value, indicator
[24425] (De Facto) Percent of teachers reporting having discussed the results of the classroom observation - | pub=World Bank | cols: country, date, value, indicator
[24426] (De Facto) Percent of teachers reporting having discussed the results of the classroom observation - | pub=World Bank | cols: country, date, value, indicator
[24427] (De Facto) Percent of teachers reporting having discussed the results of the classroom observation - | pub=World Bank | cols: country, date, value, indicator
[24428] (De Facto) Percent of teachers reporting having discussed the results of the classroom observation - | pub=World Bank | cols: country, date, value, indicator
[24429] (De Facto) Percent of teachers reporting that the discussion was over 30 minutes | pub=World Bank | cols: country, date, value, indicator
[24430] (De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Female | pub=World Bank | cols: country, date, value, indicator
[24431] (De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Male | pub=World Bank | cols: country, date, value, indicator
[24432] (De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Rural | pub=World Bank | cols: country, date, value, indicator
[24433] (De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Urban | pub=World Bank | cols: country, date, value, indicator
[24434] (De Facto) Percent of teachers reporting that they were provided with feedback in that discussion | pub=World Bank | cols: country, date, value, indicator
[24435] (De Facto) Percent of teachers reporting that they were provided with feedback in that discussion -  | pub=World Bank | cols: country, date, value, indicator
[24436] (De Facto) Percent of teachers reporting that they were provided with feedback in that discussion -  | pub=World Bank | cols: country, date, value, indicator
[24437] (De Facto) Percent of teachers reporting that they were provided with feedback in that discussion -  | pub=World Bank | cols: country, date, value, indicator
[24438] (De Facto) Percent of teachers reporting that they were provided with feedback in that discussion -  | pub=World Bank | cols: country, date, value, indicator
[24439] (De Facto) Percent of teachers reporting having lesson plans | pub=World Bank | cols: country, date, value, indicator
[24440] (De Facto) Percent of teachers reporting having lesson plans - Female | pub=World Bank | cols: country, date, value, indicator
[24441] (De Facto) Percent of teachers reporting having lesson plans - Male | pub=World Bank | cols: country, date, value, indicator
[24442] (De Facto) Percent of teachers reporting having lesson plans - Rural | pub=World Bank | cols: country, date, value, indicator
[24443] (De Facto) Percent of teachers reporting having lesson plans - Urban | pub=World Bank | cols: country, date, value, indicator
[24444] (De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone els | pub=World Bank | cols: country, date, value, indicator
[24445] (De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone els | pub=World Bank | cols: country, date, value, indicator
[24446] (De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone els | pub=World Bank | cols: country, date, value, indicator
[24447] (De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone els | pub=World Bank | cols: country, date, value, indicator
[24448] (De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone els | pub=World Bank | cols: country, date, value, indicator
[24449] Policy Lever (Inputs & Infrastructure) - Monitoring | pub=World Bank | cols: country, date, value, indicator
[24450] (De Facto) Percent of schools that report there is someone monitoring that basic inputs are availabl | pub=World Bank | cols: country, date, value, indicator
[24451] (De Jure) Number of basic infrastructure features clearly articulated as needing to be monitored | pub=World Bank | cols: country, date, value, indicator
[24452] (De Facto) Percent of schools that report that parents or community members are involved in the moni | pub=World Bank | cols: country, date, value, indicator
[24453] (De Facto) Percent of schools that report that there is an inventory to monitor availability of basi | pub=World Bank | cols: country, date, value, indicator
[24454] (De Facto) Percent of schools that report there is someone monitoring that basic infrastructure is a | pub=World Bank | cols: country, date, value, indicator
[24455] (De Facto) Percent of schools that report that parents or community members are involved in the moni | pub=World Bank | cols: country, date, value, indicator
[24456] (De Facto) Percent of schools that report that there is an inventory to monitor availability of basi | pub=World Bank | cols: country, date, value, indicator
[24457] (De Jure) Is the responsibility of monitoring basic inputs clearly articulated in the policies? | pub=World Bank | cols: country, date, value, indicator
[24458] (De Jure) Number of basic inputs clearly articulated as needing to be monitored | pub=World Bank | cols: country, date, value, indicator
[24459] (De Jure) Is the responsibility of monitoring basic infrastructure clearly articulated in the polici | pub=World Bank | cols: country, date, value, indicator
[24460] (De Facto) Policy Lever (Inputs & Infrastructure) - Monitoring | pub=World Bank | cols: country, date, value, indicator
[24461] (De Jure) Policy Lever (Inputs & Infrastructure) - Monitoring | pub=World Bank | cols: country, date, value, indicator
[24462] Basic Infrastructure | pub=World Bank | desc: School survey.  Total score is the sum  of whether a school has:   , Access to adequate drinking water   -Functional toilets that are separate for boys/girls, private, useable, and have hand washing f | cols: country, date, value, indicator
[24463] (De Facto) Average number of infrastructure aspects present in schools | pub=World Bank | cols: country, date, value, indicator
[24464] (De Facto) Average number of infrastructure aspects present in schools - Rural | pub=World Bank | cols: country, date, value, indicator
[24465] (De Facto) Average number of infrastructure aspects present in schools - Urban | pub=World Bank | cols: country, date, value, indicator
[24466] (De Facto) Percent of schools with drinking water | pub=World Bank | cols: country, date, value, indicator
[24467] (De Facto) Percent of schools with drinking water - Rural | pub=World Bank | cols: country, date, value, indicator
[24468] (De Facto) Percent of schools with drinking water - Urban | pub=World Bank | cols: country, date, value, indicator
[24469] (De Facto) Percent of schools with functioning toilets | pub=World Bank | cols: country, date, value, indicator
[24470] (De Facto) Percent of schools with functioning toilets - Rural | pub=World Bank | cols: country, date, value, indicator
[24471] (De Facto) Percent of schools with functioning toilets - Urban | pub=World Bank | cols: country, date, value, indicator
[24472] (De Facto) Percent of schools with access to electricity | pub=World Bank | cols: country, date, value, indicator
[24473] (De Facto) Percent of schools with access to electricity - Rural | pub=World Bank | cols: country, date, value, indicator
[24474] (De Facto) Percent of schools with access to electricity - Urban | pub=World Bank | cols: country, date, value, indicator
[24475] (De Facto) Percent of schools with access to internet | pub=World Bank | cols: country, date, value, indicator
[24476] (De Facto) Percent of schools with access to internet - Rural | pub=World Bank | cols: country, date, value, indicator
[24477] (De Facto) Percent of schools with access to internet - Urban | pub=World Bank | cols: country, date, value, indicator
[24478] (De Facto) Percent of schools accessible to children with special needs | pub=World Bank | cols: country, date, value, indicator
[24479] (De Facto) Percent of schools accessible to children with special needs - Rural | pub=World Bank | cols: country, date, value, indicator
[24480] (De Facto) Percent of schools accessible to children with special needs - Urban | pub=World Bank | cols: country, date, value, indicator
[24481] Basic Inputs | pub=World Bank | desc: School survey.  Total score is the sum of whether a school has:   , Functional blackboard    - Pens, pencils, exercise books </br> - Textbooks   - Fraction of students in class with a desk    - Used I | cols: country, date, value, indicator
[24482] (De Facto) Average number of classroom inputs in classrooms | pub=World Bank | cols: country, date, value, indicator
