[24618] (De Facto) Average score for infrastructure repair/maintenance - Male | pub=World Bank | cols: country, date, value, indicator
[24619] (De Facto) Average score for infrastructure repair/maintenance - Rural | pub=World Bank | cols: country, date, value, indicator
[24620] (De Facto) Average score for infrastructure repair/maintenance - Urban | pub=World Bank | cols: country, date, value, indicator
[24621] (De Facto) Average score for ensuring  availability of school inputs | pub=World Bank | cols: country, date, value, indicator
[24622] (De Facto) Average score for ensuring  availability of school inputs - Female | pub=World Bank | cols: country, date, value, indicator
[24623] (De Facto) Average score for ensuring  availability of school inputs - Male | pub=World Bank | cols: country, date, value, indicator
[24624] (De Facto) Average score for ensuring  availability of school inputs - Rural | pub=World Bank | cols: country, date, value, indicator
[24625] (De Facto) Average score for ensuring  availability of school inputs - Urban | pub=World Bank | cols: country, date, value, indicator
[24626] Teacher Pedagogical Skills | pub=World Bank | desc: School survey.  Based on TEACH ratings from classroom observations | cols: country, date, value, indicator
[24627] (De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) | pub=World Bank | cols: country, date, value, indicator
[24628] (De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Fe | pub=World Bank | cols: country, date, value, indicator
[24629] (De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Ma | pub=World Bank | cols: country, date, value, indicator
[24630] (De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Ru | pub=World Bank | cols: country, date, value, indicator
[24631] (De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Ur | pub=World Bank | cols: country, date, value, indicator
[24632] (De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom  | pub=World Bank | cols: country, date, value, indicator
[24633] (De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom  | pub=World Bank | cols: country, date, value, indicator
[24634] (De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom  | pub=World Bank | cols: country, date, value, indicator
[24635] (De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom  | pub=World Bank | cols: country, date, value, indicator
[24636] (De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom  | pub=World Bank | cols: country, date, value, indicator
[24637] (De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction scor | pub=World Bank | cols: country, date, value, indicator
[24638] (De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction scor | pub=World Bank | cols: country, date, value, indicator
[24639] (De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction scor | pub=World Bank | cols: country, date, value, indicator
[24640] (De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction scor | pub=World Bank | cols: country, date, value, indicator
[24641] (De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction scor | pub=World Bank | cols: country, date, value, indicator
[24642] (De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Soc | pub=World Bank | cols: country, date, value, indicator
[24643] (De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Soc | pub=World Bank | cols: country, date, value, indicator
[24644] (De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Soc | pub=World Bank | cols: country, date, value, indicator
[24645] (De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Soc | pub=World Bank | cols: country, date, value, indicator
[24646] (De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Soc | pub=World Bank | cols: country, date, value, indicator
[24647] Principal School Knowledge | pub=World Bank | cols: country, date, value, indicator
[24648] (De Facto) Average score for the extent to which principals are familiar with certain key aspects of | pub=World Bank | cols: country, date, value, indicator
[24649] (De Facto) Average score for the extent to which principals are familiar with certain key aspects of | pub=World Bank | cols: country, date, value, indicator
[24650] (De Facto) Average score for the extent to which principals are familiar with certain key aspects of | pub=World Bank | cols: country, date, value, indicator
[24651] (De Facto) Average score for the extent to which principals are familiar with certain key aspects of | pub=World Bank | cols: country, date, value, indicator
[24652] (De Facto) Average score for the extent to which principals are familiar with certain key aspects of | pub=World Bank | cols: country, date, value, indicator
[24653] (De Facto) Percent of principals familiar with teachers' content knowledge | pub=World Bank | cols: country, date, value, indicator
[24654] (De Facto) Percent of principals familiar with teachers' content knowledge - Female | pub=World Bank | cols: country, date, value, indicator
